Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,cnn_per_mw,Mol,TPSA,QED,N_RotBonds
[H]c1c([H])c(Cl)c([H])c([C@@]([H])(N([H])c2c([H])c([H])n([H])c(=O)c2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])[C@]([H])(C([H])([H])[H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1[H],8259,fegrow_gen/c1(-c2ccc(S(N)(=O)=O)cc2)c(NC([C@H](C)CN(CC)CC)c2cccc(Cl)c2)cc[nH]c1=O.sdf,6.03445,0.0127897291339917,471.82,5,3,4.4738,True,False,False,False,8.30300784016932,-0.0127897291339917,<rdkit.Chem.rdchem.Mol object at 0x7ff0d78d89e0>,108.29,0.3786708821431309,10
[H]c1sc(C([H])([H])N([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)C([H])([H])c2c([H])c(C([H])([H])C([H])([H])N([H])[H])c(=O)n([H])c2[H])c([H])c1[H],12638,fegrow_gen/c1(CCN)cc(CN(Cc2ccccc2Cl)NCc2cccs2)c[nH]c1=O.sdf,5.53867,0.0145843899022295,379.767,5,3,3.298,True,False,True,True,6.22436033485549,-0.0145843899022295,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70d1690>,74.15,0.4799485577410994,9
[H]OC(c1c(S[H])c(P(=O)(O[H])O[H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])[H],13982,fegrow_gen/c1(-c2c(C(C)(C)O)c(S)c(P(=O)(O)O)c(CN)c2)c(S)cc[nH]c1=O.sdf,5.28178,0.0137804018972975,383.282,6,7,1.1084,True,False,True,False,7.94914086196667,-0.0137804018972975,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6cf67a0>,136.64,0.3022995818679038,4
[H]N=[N+]=NC([H])([H])[C@](O[H])(c1c([H])c(P(=O)(O[H])O[H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)C([H])([H])N1C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H],11978,fegrow_gen/c1(-c2c([C@@](CN=[N+]=N)(CN3CCC(C)CC3)O)cc(P(=O)(O)O)c(CN)c2)c(S)cc[nH]c1=O.sdf,5.63559,0.0117577387447346,479.309,8,7,1.06217,False,True,True,False,8.24227332705599,-0.0117577387447346,<rdkit.Chem.rdchem.Mol object at 0x7ff0d716f300>,190.19000000000003,0.1197345886828144,8
[H]C(=C1SC(=O)N([H])C1=O)c1c([H])c(-c2c([C@]3([H])N=C(N([H])[H])OC3([H])[H])c([H])c([H])n([H])c2=O)c([H])c([H])c1S(=O)(=O)N([H])[H],7623,fegrow_gen/c1(-c2ccc(S(N)(=O)=O)c(C=C3SC(=O)NC3=O)c2)c([C@H]2COC(N)=N2)cc[nH]c1=O.sdf,6.08904,0.0136415143796164,446.361,9,4,0.3992,True,False,True,False,7.53883142833555,-0.0136415143796164,<rdkit.Chem.rdchem.Mol object at 0x7ff0d79830d0>,186.8,0.4708116785552976,4
[H]OC([H])([H])C(c1c([H])c(S[H])c(-c2c([H])c([H])c([H])c(C([H])([H])N([H])[H])c2[H])c(=O)n1[H])(C([H])([H])[H])C([H])([H])[H],13878,fegrow_gen/c1(-c2cccc(CN)c2)c(S)cc(C(C)(C)CO)[nH]c1=O.sdf,5.30767,0.0186722133295808,284.255,4,4,2.0592,True,False,True,False,4.93690287821167,-0.0186722133295808,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6cf3990>,79.11,0.6528836890044484,4
[H]C(=O)c1c([H])c([H])c(C([H])([H])Sc2c([H])c([H])n([H])c(=O)c2-c2c([H])c([H])c([H])c3c2c([H])c([H])n3[H])c([H])c1Cl,9354,fegrow_gen/c1(-c2cccc3[nH]ccc23)c(SCc2ccc(C=O)c(Cl)c2)cc[nH]c1=O.sdf,5.92493,0.0156016515563654,379.763,3,2,5.2814,True,False,True,True,7.32212965847356,-0.0156016515563654,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70cece0>,65.72,0.3571519356911017,5
[H]OC([H])([H])C([H])([H])c1c([H])c([H])c([C@@]2([H])OC([H])([H])C([H])([H])C2([H])[H])c(C([H])([H])N([H])C([H])([H])c2c([H])c(C([H])([H])C([H])([H])N([H])[H])c(=O)n([H])c2[H])c1Cl,13734,fegrow_gen/c1(CCN)cc(CNCc2c([C@@H]3CCCO3)ccc(CCO)c2Cl)c[nH]c1=O.sdf,5.33738,0.014131193374671,377.702,5,4,2.2056,True,False,False,False,7.93384236887034,-0.014131193374671,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6cefa00>,100.37,0.5121472103965145,9
[H]O[C@](c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])c1c([H])nc([H])nc1[H],12520,fegrow_gen/c1(-c2c(C(C)(Cc3cncnc3)O)ccc(CN)c2)c(S)cc[nH]c1=O.sdf,5.5547,0.0159479417287296,348.302,6,4,2.0295,True,False,True,False,6.9782245713031,-0.0159479417287296,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70be260>,104.89,0.5159120364085642,5
[H]c1nc([C@@]2([H])C([H])([H])[C@@]2([H])c2c([H])c(OC([H])([H])[C@@]3([H])C([H])([H])C([H])([H])N([H])C([H])([H])[C@@]3([H])c3c([H])c([H])c(N([H])[H])c([H])c3OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])C3([H])C([H])([H])C3([H])[H])n([H])c2=O)n([H])c1[H],5148,fegrow_gen/c1([C@@H]2C[C@@H]2c2ncc[nH]2)cc(OC[C@H]2CCNC[C@H]2c2ccc(N)cc2OC(C)(C)C)c(CC2CC2)[nH]c1=O.sdf,6.31343,0.0128747504450693,490.373,6,4,4.8532,True,False,True,False,8.9075490488804,-0.0128747504450693,<rdkit.Chem.rdchem.Mol object at 0x7ff0d78fac70>,118.04999999999998,0.2932154711522439,9
