cnn_per_mw,Smiles
-0.012478296442428,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c(C([H])([H])c2nc([H])c(C([H])([H])c3c(C([H])([H])[H])nn([H])c3C(=O)O[H])c([H])c2[H])c([H])c([H])n(C([H])([H])O[H])c1=O)[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])[H]
-0.0140085578387846,[H]OC([H])([H])C([H])([H])O[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(SC(F)(F)F)[C@@]1([H])[C@@]([H])(c1c([H])nc([H])c([H])c1[H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
-0.012456491753084,[H]N=C(N([H])[H])[C@@]([H])(C([H])([H])C(=O)N([H])[H])C([H])([H])N(c1nc([H])c([H])nc1[H])C([H])([H])c1c([H])c([H])c(Cl)c([H])c1C([H])([H])Sc1c([H])c([H])n([H])c(=O)c1[H]
-0.0108483619695925,[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])N([C@@]([H])(C(=O)N([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])c2c([H])c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c2[H])C([H])([H])O[H])C([H])([H])C1([H])[H]
-0.0166857246687823,[H]c1nc(C([H])([H])C([H])([H])[C@@]([H])(c2c(N([H])C([H])([H])C([H])([H])[H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c(C(F)(F)F)c([H])c1[H]
-0.01307517764497,[H]OC([H])([H])C([H])([H])N([H])C([H])([H])[C@@]([H])(c1nc([H])c([H])c(-c2nc([H])c([H])c(C(F)(F)F)n2)c1C(F)(F)F)C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
-0.0121576519898498,[H]OP(=O)(O[H])C(F)(F)c1c([H])c([H])nc([H])c1C([H])([H])[C@](c1c([H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])nc12
-0.0146872515459363,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c([H])nc([H])nc1[C@]1([H])N([H])C([H])([H])C([H])([H])C1([H])[H])N([H])C(=O)c1c([H])c([H])c(=O)n([H])c1[H]
-0.0119815575720711,[H]OC(=O)C([H])=C([H])C([H])([H])[C@@]([H])(C([H])([H])C(F)(F)F)[C@@]([H])(c1c([H])c(S[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])[C@]([H])(O[H])N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])n([H])c1=O)C([H])([H])[H]
-0.0135747199036884,[H]N=C(N([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(N([H])[C@@]([H])(C([H])([H])c1c([H])c([H])c(Cl)c([H])c1[H])[C@@]([H])(c1c([H])c([H])c([H])n(N([H])c2nc([H])c([H])c([H])c2[H])c1=O)C([H])([H])[H])C([H])([H])[H]
-0.0146633275635595,[H]c1nc(OC([H])([H])[H])c([C@]2([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])[H])[C@]([H])(Oc3c([H])c([H])c(F)c([H])c3[H])C2([H])[H])c([H])c1[H]
-0.0154772318524974,[H]c1c(-c2c(SC([H])([H])c3c([H])c(Cl)c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c3[H])c([H])c(=O)n([H])c2[H])nc(C([H])([H])[H])c([H])c1[H]
-0.0177918239338333,[H]O[C@]([H])(c1c([H])c([H])c([H])c(C([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H])n1c([H])c([H])c([H])c([C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])c1=O
-0.0143591325811001,[H]c1nc(-c2c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c(=O)n([H])c2SC([H])([H])c2c([H])c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c(C([H])([H])[H])c([H])c1[H]
-0.0113893353983581,[H]OC(=O)C([H])=C([H])C([H])([H])[C@@]([H])(C([H])([H])C(F)(F)F)[C@@]([H])(c1c([H])c(S[C@@]([H])(C([H])([H])[H])C([H])([H])N([H])[C@]([H])(C([H])([H])O[H])S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])n([H])c1=O)C([H])([H])[H]
-0.0136115879013613,[H]c1nc2c(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c([H])c([H])c2c(-c2c([H])sc3c([H])c([H])c([H])c([H])c23)c1[H]
-0.0142935071940337,[H]c1c([H])c([H])c(C([H])([H])Sc2c(N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])c(=O)n2[H])c([H])c1[H]
