,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,Smiles,cnn_per_mw,Mol,TPSA,QED,Mol_Weight,N_RotBonds
13177,13177,fegrow_gen/c1(Br)c(S)c(N2C(=O)C=C(OC[C@@H]3CCCO3)C2=O)c[nH]c1=O.sdf,5.45009,-5.45009,388.134,6,2,1.3788,True,False,True,False,7.37358866728038,[H]Sc1c(N2C(=O)C([H])=C(OC([H])([H])[C@@]3([H])OC([H])([H])C([H])([H])C3([H])[H])C2=O)c([H])n([H])c(=O)c1Br,-0.0140417742326104,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e44a0>,88.7,0.588095677323223,401.238,4
13178,13178,fegrow_gen/c1(C(=O)N[C@@H](CCC)N2[C@@H](Cc3ccc(C)c(CCC(=O)O)c3)CCCC2)ccc[nH]c1=O.sdf,5.4498,-5.4498,418.303,4,3,3.65372,True,False,False,True,8.50730284261412,[H]OC(=O)C([H])([H])C([H])([H])c1c([H])c(C([H])([H])[C@]2([H])N([C@@]([H])(N([H])C(=O)c3c([H])c([H])c([H])n([H])c3=O)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])[H],-0.0130283550440709,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4510>,102.5,0.509576095875276,453.583,10
13179,13179,fegrow_gen/c1cc(C=CC(=O)N(O)CCC(O)Oc2ccc(Cl)cc2)c(N(C)c2ccccc2)[nH]c1=O.sdf,5.44979,-5.44979,445.733,6,3,3.8147,True,False,True,True,7.69141807219879,[H]ON(C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1N(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])Oc1c([H])c([H])c(Cl)c([H])c1[H],-0.0122265795891262,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4580>,106.1,0.190300194080049,469.925,9
13180,13180,fegrow_gen/c1([C@@H](C)CC)cccn([C@H](O)c2cc(OCc3ccccc3)ccc2)c1=O.sdf,5.44968,-5.44968,338.257,4,1,4.48,True,False,False,False,8.05633397855324,[H]O[C@]([H])(c1c([H])c([H])c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H])n1c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c1=O,-0.0161110634813175,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e45f0>,51.46,0.673265153063925,363.457,7
13181,13181,fegrow_gen/c1([C@@H](COCC)C(CP(=O)(O)O)Cn2ccnc2)c(Cc2ccc(CC(=O)NC)cn2)cc[nH]c1=O.sdf,5.44966,-5.44966,485.267,7,4,1.4599,True,False,True,False,8.40109910175419,[H]OP(=O)(O[H])C([H])([H])[C@]([H])(C([H])([H])n1c([H])nc([H])c1[H])[C@@]([H])(c1c(C([H])([H])c2nc([H])c(C([H])([H])C(=O)N([H])C([H])([H])[H])c([H])c2[H])c([H])c([H])n([H])c1=O)C([H])([H])OC([H])([H])C([H])([H])[H],-0.01123022995588,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4660>,159.43,0.248058312282559,517.523,13
13182,13182,fegrow_gen/c1(C(=O)NCCO)cccn(C(=O)N[C@H]2C(CC(=O)O)[C@@H](N=C=S)[C@@H](C#C)[C@@H]2C(C)=O)c1=O.sdf,5.44956,-5.44956,452.319,9,4,-0.4728,True,False,True,True,8.06947016694065,[H]C#C[C@]1([H])[C@]([H])(N=C=S)[C@]([H])(C([H])([H])C(=O)O[H])[C@]([H])(N([H])C(=O)n2c([H])c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])O[H])c2=O)[C@@]1([H])C(=O)C([H])([H])[H],-0.0120480457376321,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e46d0>,167.16,0.222751676847888,474.495,8
13183,13183,fegrow_gen/c1c(N2CCO[C@@H]([C@@H]3CCNC3N3CCC(N4CCCC4)CC3)C2)cc[nH]c1=O.sdf,5.44945,-5.44945,366.275,6,2,1.0759,True,False,False,False,8.67347836656884,[H]c1c(N2C([H])([H])C([H])([H])O[C@@]([H])([C@]3([H])C([H])([H])C([H])([H])N([H])[C@]3([H])N3C([H])([H])C([H])([H])C([H])(N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C3([H])[H])C2([H])[H])c([H])c(=O)n([H])c1[H],-0.0148780288034946,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4740>,63.84,0.787219749199747,401.555,4
13184,13184,fegrow_gen/c1cc(C(=O)N[C@H](C(C#N)NCc2ccc(OC)cc2)c2cncnc2)c[nH]c1=O.sdf,5.44936,-5.44936,384.27,7,3,1.32658,True,False,False,True,7.26748429183949,[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c([H])c(=O)n([H])c2[H])[C@@]([H])(C#N)N([H])C([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])n1,-0.0141810706014001,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e47b0>,132.79,0.515685505265313,404.43,8
13185,13185,fegrow_gen/c1(C(=O)N(CCCC)c2c(CN3CCNCC3)ccc(C)c2)cc(CC#N)c(CC2CC2)[nH]c1=O.sdf,5.44911,-5.44911,438.341,5,2,3.554,True,False,False,False,8.05917918886603,[H]c1c([H])c(C([H])([H])N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c(N(C(=O)c2c([H])c(C([H])([H])C#N)c(C([H])([H])C3([H])C([H])([H])C3([H])[H])n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1C([H])([H])[H],-0.0124312122297481,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4820>,92.23,0.548273418008567,475.637,10
13186,13186,fegrow_gen/c1([C@@H](C)CCc2ccc(O)c(O)c2)c(C(F)(F)P(=O)(O)O)ccn([C@H](Oc2cccc([N+](=O)[O-])c2)c2ccccc2)c1=O.sdf,5.44873,-5.44873,589.294000000001,8,4,5.75690000000001,False,True,True,False,8.10379599641945,[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]([H])(c2c(C(F)(F)P(=O)(O[H])O[H])c([H])c([H])n([C@]([H])(Oc3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])c3c([H])c([H])c([H])c([H])c3[H])c2=O)C([H])([H])[H])c([H])c1O[H],-0.00924619968979829,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70e4890>,172.36,0.0707696826309902,616.51,11
